C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1046.26, 346.399][1097.34, 301.757][1168.17, 473.334][1221.26, 416.212]
[1048.27, 347.818][1099.59, 303.701][1170, 474.86][1222.79, 416.72]
[1049.84, 348.862][1100.81, 304.599][1171.71, 475.435][1223.44, 417.051]
[1051.07, 349.585][1101.23, 304.928][1172.5, 475.238][1223.96, 416.666]
[1050.4, 350.317][1101.84, 305.624][1172.3, 476.078][1223.83, 417.087]
[1049.33, 352.189][1102.05, 307.738][1172.15, 478.307][1222.64, 419.817]
[1049.06, 354.944][1100.57, 310.403][1171.21, 480.238][1222.27, 422.139]
[1049.42, 357.254][1100.8, 312.913][1169.94, 481.908][1222.01, 424.388]
[1049.71, 358.699][1101.54, 314.785][1168.41, 483.683][1221.81, 426.062]
[1050.49, 363.044][1102.4, 316.432][1167.79, 485.536][1221.95, 429.209]
[1050.55, 363.851][1101.7, 317.62][1168.15, 486.889][1222.34, 430.188]
[1050.61, 363.808][1100.6, 318.701][1168.45, 487.831][1222.66, 430.558]
[1052.3, 368.074][1101.41, 319.172][1167.59, 487.924][1222.91, 431.578]
[1052.52, 366.929][1101.5, 319.204][1168.59, 487.941][1223.12, 431.214]
[1052.69, 365.958][1100.47, 319.158][1170.48, 487.888][1223.28, 430.585]
[1052.81, 365.918][1099.95, 319.566][1170.03, 487.749][1223.96, 430.272]
[1052.36, 364.998][1101.48, 319.819][1169.95, 488.133][1223.95, 431.343]
[1052, 364.791][1101.03, 319.698][1171, 488.392][1223.93, 431.31]
[1051.18, 364.569][1101.5, 319.816][1170.72, 489.087][1223.38, 430.675]
[1050.54, 364.612][1100.78, 320.12][1170.5, 489.566][1222.4, 430.121]
[1050.6, 365.41][1102.97, 321.665][1170.88, 490.423][1222.47, 433.211]
[1050.64, 366.261][1102.19, 322.815][1170.9, 491.041][1222.8, 434.738]
[1050.69, 366.045][1102.42, 320.349][1170.64, 488.167][1223.07, 433.39]
[1050.72, 363.628][1101.76, 318.384][1171.27, 485.893][1223.55, 430.915]
[1050.76, 361.176][1101.26, 316.282][1171.48, 483.83][1223.66, 428.966]
[1049.68, 357.594][1101.42, 314.071][1170.82, 481.381][1223.19, 426.596]
[1049.4, 354.244][1100.72, 310.682][1169.75, 477.812][1222.55, 424.184]
[1049.2, 351.093][1097.98, 306.391][1168.38, 473.666][1221.51, 419.821]
