C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1012.72, 356.127][1064.36, 304.018][1167.57, 511.723][1222.56, 456.498]
[1011.58, 354.827][1067.64, 302.466][1165.28, 510.275][1225.34, 452.499]
[1010.73, 354.163][1069.87, 301.012][1163.85, 509.192][1227.5, 449.767]
[1009.59, 351.426][1062.27, 302.223][1162.34, 507.935][1216.86, 455.465]
[1009.38, 349.739][1056.22, 303.544][1162.18, 506.772][1208.83, 459.914]
[1009.26, 349.698][1063.74, 302.544][1161.82, 507.125][1215.76, 455.686]
[1010.41, 352.997][1054.56, 303.045][1170.15, 495.452][1221.13, 451.96]
[1009.86, 351.788][1061.3, 301.739][1166.64, 497.129][1224.11, 449.192]
[1008.57, 349.094][1054.79, 301.91][1164.8, 497.862][1212.6, 453.815]
[1007.06, 347.143][1048.68, 302.158][1162.58, 498.028][1203.24, 455.766]
[1005.29, 347.39][1052.19, 298.8][1157.01, 497.561][1206.87, 449.006]
[1003.45, 345.964][1052.39, 295.176][1152.58, 495.618][1208.1, 443.08]
[1000.82, 343.655][1051.06, 291.15][1148.82, 492.904][1209.04, 437.85]
[997.805, 338.561][1043.42, 290.382][1148, 490.781][1195.82, 439.772]
[994.827, 333.953][1036.24, 287.95][1142.85, 484.621][1183.98, 439.125]
[992.068, 329.374][1030.27, 284.146][1139.06, 480.039][1174.18, 436.719]
[990.162, 325.854][1025.44, 280.887][1136.74, 475.946][1166.86, 434.223]
[988.755, 322.355][1021.81, 277.284][1133.87, 470.843][1160.21, 431.2]
[987.711, 319.124][1019.09, 273.965][1132.3, 467.553][1155.47, 427.739]
[986.418, 315.016][1017.74, 271.539][1137.12, 452.527][1160.32, 412.24]
[986.724, 313.237][1016.93, 269.56][1133.93, 452.691][1156.43, 412.871]
[986.903, 311.407][1016.17, 268.189][1130.42, 450.85][1152.59, 412.33]
[987.124, 308.54][1015.7, 265.052][1128.03, 448.96][1149.71, 410.517]
[986.142, 304.594][1011.41, 264.356][1126.31, 446.822][1146.17, 407.746]
[985.604, 301.771][1010.79, 261.087][1126.96, 445.807][1143.2, 405.199]
[984.635, 299.174][1010.47, 258.431][1126.64, 444.293][1140.22, 402.179]
[982.594, 296.185][1009.25, 257.003][1129.6, 428.973][1151.08, 394.681]
[980.47, 296.434][1007.22, 256.786][1124.23, 431.094][1143.87, 396.33]
[976.532, 297.753][1003.82, 259.27][1119.82, 435.647][1136.32, 399.09]
[972.572, 300.886][1000.02, 262.883][1113.99, 440.942][1129.58, 402.679]
[971.033, 299.545][998.038, 261.986][1112.03, 439.334][1126.61, 401.3]
[967.095, 305.122][993.449, 266.209][1107.09, 446.66][1120.81, 406.942]
[964.753, 309.235][991.382, 270.463][1103.16, 451.523][1116.73, 410.769]
[962.456, 312.313][989.251, 273.959][1100.69, 455.109][1113.8, 413.342]
[960.741, 314.847][987.649, 276.804][1098.23, 457.712][1110.99, 415.207]
[959.055, 314.955][985.668, 277.186][1096.04, 457.835][1108.01, 415.191]
[958.672, 317.159][985.588, 278.775][1094.63, 459.738][1108.94, 418.292]
[958.231, 318.618][985.967, 280.842][1092.81, 460.019][1109.22, 420.652]
[958.08, 320.21][987.02, 283.45][1099.16, 450.322][1122.62, 417.011]
[966.343, 310.331][994.07, 282.639][1104.08, 444.212][1132.33, 413.184]
[964.844, 315.305][989.853, 286.825][1099.43, 449.336][1127.79, 418.897]
[963.19, 319.121][989.409, 288.446][1097.2, 453.632][1123.79, 423.257]
[961.403, 322.303][985.926, 291.07][1095.31, 457.809][1120.81, 426.839]
[959.548, 324.956][985.715, 292.668][1093.43, 460.964][1118.08, 430.355]
[958.075, 327.337][985.223, 293.654][1098.08, 453.764][1126.75, 427.848]
[956.519, 329.023][984.437, 293.649][1102.39, 448.813][1133.8, 424.919]
[955.336, 329.726][981.232, 294.79][1100.49, 455.464][1128.19, 428.465]
[954.499, 330.197][982.038, 295.012][1098.19, 459.741][1124.45, 430.867]
[954.52, 331.059][983.33, 293.942][1103.72, 453.456][1133.18, 425.704]
